               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.046941,            0.016675,           0.0071383,             0.87484,                   1,             0.95125,             0.46463,            0.028297,           0.0074095,           0.0046442,           0.0079012,           0.0079012,           0.0079012
                 108,            0.042699,            0.014635,           0.0099049,             0.87484,                   1,             0.95125,             0.46463,            0.028297,           0.0074095,           0.0046442,           0.0078814,           0.0078814,           0.0078814
                 109,            0.041741,            0.013653,           0.0093518,             0.94868,                   1,               0.995,              0.4498,            0.029599,           0.0071495,           0.0043222,           0.0078616,           0.0078616,           0.0078616
                 110,            0.045733,            0.010043,           0.0068061,             0.94868,                   1,               0.995,              0.4498,            0.029599,           0.0071495,           0.0043222,           0.0078418,           0.0078418,           0.0078418
                 111,            0.038722,            0.010863,           0.0068532,             0.76725,              0.9732,             0.89933,             0.49511,            0.027202,             0.00743,           0.0043014,            0.007822,            0.007822,            0.007822
                 112,            0.043986,            0.012804,           0.0070744,             0.76725,              0.9732,             0.89933,             0.49511,            0.027202,             0.00743,           0.0043014,           0.0078022,           0.0078022,           0.0078022
                 113,            0.043434,            0.010526,            0.011747,              0.8269,                0.95,             0.95605,             0.51689,            0.026637,            0.007105,           0.0043424,           0.0077824,           0.0077824,           0.0077824
                 114,            0.040432,            0.014157,           0.0088194,              0.8269,                0.95,             0.95605,             0.51689,            0.026637,            0.007105,           0.0043424,           0.0077626,           0.0077626,           0.0077626
                 115,            0.040412,            0.015127,            0.013355,             0.82306,             0.97766,             0.94946,             0.51583,            0.027176,           0.0069034,           0.0045124,           0.0077428,           0.0077428,           0.0077428
                 116,            0.041386,            0.011365,           0.0092828,             0.82306,             0.97766,             0.94946,             0.51583,            0.027176,           0.0069034,           0.0045124,            0.007723,            0.007723,            0.007723
                 117,            0.046441,            0.011078,            0.011558,             0.93373,                   1,             0.97227,             0.49068,             0.02503,           0.0070355,           0.0050225,           0.0077032,           0.0077032,           0.0077032
                 118,            0.045254,            0.011547,            0.010928,             0.93373,                   1,             0.97227,             0.49068,             0.02503,           0.0070355,           0.0050225,           0.0076834,           0.0076834,           0.0076834
                 119,             0.04574,            0.011318,           0.0096184,             0.58998,                   1,             0.79388,             0.41315,            0.032275,           0.0072769,           0.0054109,           0.0076636,           0.0076636,           0.0076636
                 120,            0.049621,            0.012842,           0.0075004,             0.58998,                   1,             0.79388,             0.41315,            0.032275,           0.0072769,           0.0054109,           0.0076438,           0.0076438,           0.0076438
                 121,              0.0483,            0.012759,            0.010092,             0.88062,                0.95,             0.95215,             0.68625,             0.02109,           0.0067888,           0.0054184,            0.007624,            0.007624,            0.007624
                 122,            0.037725,            0.009296,           0.0083184,             0.88062,                0.95,             0.95215,             0.68625,             0.02109,           0.0067888,           0.0054184,           0.0076042,           0.0076042,           0.0076042
                 123,            0.041774,            0.011589,           0.0093388,             0.85865,                   1,             0.97833,             0.66438,            0.021638,           0.0069849,           0.0053238,           0.0075844,           0.0075844,           0.0075844
                 124,              0.0407,            0.015451,           0.0063445,             0.85865,                   1,             0.97833,             0.66438,            0.021638,           0.0069849,           0.0053238,           0.0075646,           0.0075646,           0.0075646
                 125,            0.037342,            0.009206,            0.017899,             0.97687,                   1,               0.995,             0.59674,            0.023699,           0.0067391,           0.0047154,           0.0075448,           0.0075448,           0.0075448
                 126,            0.037076,            0.012886,           0.0078684,             0.97687,                   1,               0.995,             0.59674,            0.023699,           0.0067391,           0.0047154,            0.007525,            0.007525,            0.007525
                 127,            0.039979,            0.012042,           0.0085444,             0.73017,                   1,              0.9522,             0.57352,            0.027698,           0.0069544,           0.0046897,           0.0075052,           0.0075052,           0.0075052
                 128,            0.043192,            0.013053,           0.0068041,             0.73017,                   1,              0.9522,             0.57352,            0.027698,           0.0069544,           0.0046897,           0.0074854,           0.0074854,           0.0074854
                 129,              0.0457,            0.012028,           0.0077808,             0.92211,                   1,             0.97682,             0.45663,            0.027093,            0.006949,           0.0046997,           0.0074656,           0.0074656,           0.0074656
                 130,            0.041667,             0.01455,           0.0088109,             0.92211,                   1,             0.97682,             0.45663,            0.027093,            0.006949,           0.0046997,           0.0074458,           0.0074458,           0.0074458
                 131,            0.042567,            0.012284,           0.0088624,             0.55896,                 0.9,             0.82938,             0.50373,            0.023995,           0.0070296,           0.0049609,            0.007426,            0.007426,            0.007426
                 132,            0.042112,            0.010526,           0.0073721,             0.55896,                 0.9,             0.82938,             0.50373,            0.023995,           0.0070296,           0.0049609,           0.0074062,           0.0074062,           0.0074062
                 133,            0.039879,            0.011622,           0.0071188,             0.97322,                   1,               0.995,              0.7228,            0.018143,           0.0065141,           0.0051494,           0.0073864,           0.0073864,           0.0073864
                 134,            0.036488,            0.011893,           0.0071189,             0.97322,                   1,               0.995,              0.7228,            0.018143,           0.0065141,           0.0051494,           0.0073666,           0.0073666,           0.0073666
                 135,            0.034824,            0.011896,           0.0085505,             0.73738,                 0.9,             0.87306,             0.45262,            0.023018,            0.006842,           0.0045932,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03671,            0.013885,           0.0078942,             0.73738,                 0.9,             0.87306,             0.45262,            0.023018,            0.006842,           0.0045932,            0.007327,            0.007327,            0.007327
                 137,            0.039395,           0.0090207,           0.0077565,             0.87271,             0.90969,               0.995,             0.46223,            0.033646,           0.0068207,           0.0042716,           0.0073072,           0.0073072,           0.0073072
                 138,            0.046619,            0.013916,           0.0075316,             0.87271,             0.90969,               0.995,             0.46223,            0.033646,           0.0068207,           0.0042716,           0.0072874,           0.0072874,           0.0072874
                 139,            0.048873,            0.011878,           0.0065549,             0.89458,             0.92043,               0.995,             0.67721,            0.021226,           0.0064098,           0.0041173,           0.0072676,           0.0072676,           0.0072676
                 140,            0.040703,           0.0087495,           0.0057125,             0.89458,             0.92043,               0.995,             0.67721,            0.021226,           0.0064098,           0.0041173,           0.0072478,           0.0072478,           0.0072478
                 141,             0.03901,           0.0099506,           0.0073674,              0.7261,             0.99081,             0.93389,             0.54601,            0.028207,           0.0069405,           0.0039273,            0.007228,            0.007228,            0.007228
                 142,            0.042285,            0.013151,           0.0081994,              0.7261,             0.99081,             0.93389,             0.54601,            0.028207,           0.0069405,           0.0039273,           0.0072082,           0.0072082,           0.0072082
                 143,            0.043686,            0.010943,           0.0068337,             0.76274,                   1,             0.95056,             0.59338,            0.023475,           0.0064213,           0.0040262,           0.0071884,           0.0071884,           0.0071884
